what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1463087535969
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1463087537158
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1463087538697
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1463087540100
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1463087541619
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1463087542966
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1463087544855
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1463087561070
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1463087562804
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1463087570221
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1463087594067
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1463087594067
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1463087599789
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1463087606673
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.stop",1463087609173
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1463087609768
started,bundle,org.eclipse.jst.jsf.facelet.ui,1.0.1.v201104032306,"org.eclipse.jst.jsf.facelet.ui",1463087610335
started,bundle,org.eclipse.jst.jsf.ui,1.3.2.v201104251204,"org.eclipse.jst.jsf.ui",1463087610763
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1463087611118
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1463087613593
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1463087622914
